Date,Time,Factory,Region,Shift,Workers,Exp,Training,Temp,Pressure,Humidity,Vibration,Speed,Age,Service_Days,Gas,Sparks,Alarm,Risk,Accident
2021-01-01,00:00:00,Factory_A,Urban,Day,7.0,Junior,Yes,26.49,25.31,54.18,1.63,1007.06,17,202,8.9,1,Off,56.47,0
2021-01-01,00:15:00,Factory_A,Industrial_Zone,Night,11.0,Junior,Yes,24.59,19.98,68.53,3.1,2664.56,7,217,9.97,3,Off,48.28,0
2021-01-01,00:30:00,Factory_C,Urban,Day,14.0,Junior,No,26.94,24.62,79.44,4.31,2335.27,6,32,8.66,4,On,32.13,0
2021-01-01,00:45:00,Factory_B,Rural,Night,20.0,Senior,No,29.57,23.55,77.35,1.48,3806.65,10,276,2.71,1,Off,59.04,0
2021-01-01,01:00:00,Factory_B,Urban,Day,38.0,Junior,No,24.3,21.49,47.83,0.51,1147.47,16,303,5.87,4,On,53.32,0
2021-01-01,01:15:00,Factory_B,Rural,Day,,Senior,Yes,24.3,22.24,48.14,2.28,2595.11,9,131,2.88,4,On,45.66,0
2021-01-01,01:30:00,Factory_A,Rural,Night,34.0,Senior,No,29.74,24.63,35.07,0.14,1107.73,14,339,5.63,3,Off,71.33,0
2021-01-01,01:45:00,Factory_A,Urban,Night,24.0,Junior,Yes,27.3,20.3,72.7,2.31,2873.65,12,217,1.15,3,Off,53.93,0
2021-01-01,02:00:00,Factory_D,Industrial_Zone,Night,43.0,Senior,No,23.59,24.56,42.29,3.49,3598.25,6,333,0.19,4,On,58.47,0
2021-01-01,02:15:00,Factory_A,Urban,Day,13.0,Senior,No,26.63,25.58,52.25,2.69,1747.74,18,225,0.68,1,Off,63.22,0
2021-01-01,02:30:00,Factory_A,Rural,Night,25.0,Senior,Yes,23.61,21.51,62.26,4.64,2087.61,18,357,8.43,1,On,61.59,0
2021-01-01,02:45:00,Factory_A,Rural,Night,12.0,Junior,No,23.6,23.67,76.52,2.84,3075.58,6,13,0.04,0,Off,33.85,0
2021-01-01,03:00:00,Factory_B,Urban,Day,48.0,Senior,Yes,25.73,22.07,32.37,0.88,2690.6,19,360,4.0,4,Off,61.83,0
2021-01-01,03:15:00,Factory_B,Urban,Day,34.0,Senior,Yes,19.26,17.67,56.81,1.57,2478.14,17,165,8.44,1,On,42.73,0
2021-01-01,03:30:00,Factory_A,Industrial_Zone,Day,24.0,Senior,Yes,19.83,20.02,68.56,4.72,2245.01,3,104,4.05,0,On,26.27,0
2021-01-01,03:45:00,Factory_B,Urban,Day,38.0,Senior,No,23.31,19.32,77.93,4.14,1357.87,3,355,9.15,1,On,56.64,0
2021-01-01,04:00:00,Factory_D,Rural,Day,36.0,Junior,Yes,21.96,22.2,43.7,1.1,2691.47,9,139,1.44,3,Off,36.43,0
2021-01-01,04:15:00,Factory_B,Industrial_Zone,Day,19.0,Junior,No,25.94,21.57,43.55,4.43,3215.08,3,16,0.61,4,On,33.15,0
2021-01-01,04:30:00,Factory_D,Industrial_Zone,Day,43.0,Senior,No,22.28,17.94,73.54,3.42,2941.95,8,204,5.22,3,On,40.16,0
2021-01-01,04:45:00,Factory_C,Rural,Night,38.0,Junior,Yes,20.76,13.13,71.09,4.54,2936.03,17,23,9.62,3,On,24.58,0
2021-01-01,05:00:00,Factory_A,Urban,Night,26.0,Senior,Yes,29.4,24.44,31.47,2.87,1425.07,2,283,8.89,1,On,59.62,0
2021-01-01,05:15:00,Factory_B,Rural,Night,30.0,Junior,No,24.32,22.8,74.5,3.99,2384.77,15,40,2.0,2,Off,35.01,0
2021-01-01,05:30:00,Factory_D,Rural,Day,21.0,Senior,No,25.2,25.28,40.23,4.15,1373.56,8,153,2.02,1,On,46.34,0
2021-01-01,05:45:00,Factory_C,Industrial_Zone,Day,25.0,Junior,No,20.73,16.89,51.2,4.25,3098.36,3,185,4.61,3,Off,38.08,0
2021-01-01,06:00:00,Factory_C,Industrial_Zone,Night,5.0,Junior,No,23.37,23.7,43.67,0.56,2251.59,4,220,1.05,2,On,49.48,0
2021-01-01,06:15:00,Factory_B,Industrial_Zone,Day,47.0,Senior,No,25.33,21.69,72.01,2.14,3460.26,13,297,4.05,2,Off,58.94,0
2021-01-01,06:30:00,Factory_B,Rural,Day,44.0,Junior,Yes,21.55,20.65,77.82,4.16,1434.72,10,84,7.17,0,On,43.49,0
2021-01-01,06:45:00,Factory_C,Rural,Night,31.0,Junior,No,26.13,23.08,62.47,2.87,3482.53,4,2,0.84,3,Off,36.02,0
2021-01-01,07:00:00,Factory_A,Rural,Day,25.0,Senior,No,23.2,21.58,32.16,1.68,3695.4,2,51,8.25,3,On,32.88,0
2021-01-01,07:15:00,Factory_A,Rural,Day,22.0,Junior,No,24.12,18.0,62.14,0.19,3713.65,7,357,9.45,4,Off,56.35,0
2021-01-01,07:30:00,Factory_D,Rural,Night,13.0,Senior,No,23.19,23.03,68.14,3.87,3059.76,1,81,2.87,2,Off,34.6,0
2021-01-01,07:45:00,Factory_A,Industrial_Zone,Day,36.0,Senior,Yes,30.56,26.95,69.88,4.34,3678.71,11,62,0.67,0,On,50.9,0
2021-01-01,08:00:00,Factory_C,Rural,Night,47.0,Senior,No,24.96,24.39,40.71,4.54,1235.93,13,237,6.72,4,On,56.51,0
2021-01-01,08:15:00,Factory_C,Rural,Day,24.0,Senior,Yes,21.83,21.89,74.84,1.42,1304.08,11,326,7.09,1,On,52.84,0
2021-01-01,08:30:00,Factory_C,Industrial_Zone,Night,18.0,Senior,Yes,27.47,23.32,41.82,1.54,3715.87,13,148,0.94,0,On,50.25,0
2021-01-01,08:45:00,Factory_A,Industrial_Zone,Night,27.0,Junior,Yes,21.34,17.73,69.04,1.19,3832.01,11,23,6.5,2,Off,33.73,0
2021-01-01,09:00:00,Factory_D,Industrial_Zone,Night,15.0,Junior,Yes,25.63,23.71,72.82,3.11,3066.62,19,264,1.23,1,Off,57.3,0
2021-01-01,09:15:00,Factory_A,Urban,Night,,Junior,No,19.12,19.64,69.88,1.97,2564.52,11,64,7.63,0,On,31.84,0
2021-01-01,09:30:00,Factory_D,Rural,Night,46.0,Senior,Yes,21.02,20.5,64.25,3.8,2566.42,9,302,1.45,2,On,46.35,0
2021-01-01,09:45:00,Factory_A,Urban,Night,20.0,Junior,No,25.59,23.68,71.57,0.24,2600.88,12,258,9.95,0,Off,58.81,0
2021-01-01,10:00:00,Factory_C,Rural,Night,5.0,Junior,Yes,27.22,23.52,71.68,0.57,3821.76,13,344,8.96,0,Off,69.72,0
2021-01-01,10:15:00,Factory_C,Industrial_Zone,Day,14.0,Senior,No,25.51,21.87,50.48,0.03,3130.7,3,201,7.88,3,On,44.94,0
2021-01-01,10:30:00,Factory_B,Urban,Day,37.0,Junior,Yes,24.65,19.97,43.17,0.08,1514.55,14,189,9.25,0,Off,41.13,0
